"gene","module"
"PIK3R1","magenta"
"BIRC6","blue"
"LIMA1","pink"
"MKL1","blue"
"COPE","green"
"B4GALT2","green"
"S100A16","turquoise"
"CALML5","brown"
"LSM7","turquoise"
"NBEAL1","black"
"NDUFB8","turquoise"
"CLTB","turquoise"
"TNS1","blue"
"RWDD1","turquoise"
"PPP3CA","red"
"SNX9","red"
"NDUFB4","turquoise"
"SURF4","turquoise"
"VAMP2","brown"
"MFAP5","yellow"
"CASK","blue"
"COX7B","turquoise"
"SOD2","black"
"BMPR2","red"
"FUS","brown"
"SFRP1","brown"
"FKBP11","green"
"NDUFA6","turquoise"
"PCSK1N","brown"
"DPYSL2","brown"
"TMTC2","red"
"TNRC18","blue"
"FOXP2","red"
"KIAA1217","blue"
"ATP5H","turquoise"
"CEBPB","brown"
"COLEC12","brown"
"ARHGAP24","blue"
"PAM","black"
"FKBP1A","turquoise"
"FXYD5","brown"
"GAB2","blue"
"ANTXR1","blue"
"NDUFB1","turquoise"
"KMT2C","blue"
"HNRNPA2B1","yellow"
"EXOC4","blue"
"ADGRA2","black"
"NTRK2","brown"
"LAMTOR4","turquoise"
"EIF3K","turquoise"
"ASTN2","brown"
"PNRC1","brown"
"ATP5G1","turquoise"
"SDF4","turquoise"
"LAMB2","turquoise"
"CLTA","turquoise"
"CALU","green"
"CACHD1","brown"
"CSRP2","green"
"SEPP1","magenta"
"KLF12","blue"
"OLFM2","turquoise"
"ALKBH7","turquoise"
"MBD5","blue"
"SRPK2","blue"
"NF1","blue"
"MVP","turquoise"
"ARHGEF3","blue"
"USMG5","turquoise"
"CDK14","blue"
"ABCA10","magenta"
"ZHX2","blue"
"TAF10","turquoise"
"DDX17","red"
"DIP2C","blue"
"LDLRAD4","blue"
"ATP6V1F","turquoise"
"SERP1","turquoise"
"UTRN","blue"
"FYN","black"
"HNRNPD","brown"
"GUCY1A3","turquoise"
"HSP90AA1","grey"
"CHCHD3","grey"
"ECE1","red"
"ATG7","blue"
"DPYSL3","pink"
"METRNL","green"
"FOXO1","blue"
"DYNLRB1","turquoise"
"DSTN","brown"
"TTYH3","green"
"FLRT2","black"
"GFRA1","black"
"PDZD2","blue"
"MORF4L1","turquoise"
"LOX","green"
"BRK1","turquoise"
"PDIA3","turquoise"
"ANKRD11","blue"
"LINC00657","grey"
"FBL","yellow"
"HNRNPK","yellow"
"GLI3","black"
"MXRA7","turquoise"
"TMEM59","yellow"
"RBX1","turquoise"
"WSB1","blue"
"MCC","blue"
"GPATCH8","blue"
"BLOC1S1","turquoise"
"CACNB2","blue"
"CD44","black"
"PPFIBP1","blue"
"RP11-282O18.3","turquoise"
"CELF1","blue"
"MIF","turquoise"
"RPN1","turquoise"
"APOO","yellow"
"LAMTOR1","turquoise"
"MYOF","blue"
"AMBRA1","turquoise"
"ST5","blue"
"ID3","turquoise"
"POLD4","turquoise"
"C14orf2","turquoise"
"PTPRA","blue"
"POMP","turquoise"
"ACTN1","green"
"SRPX","black"
"DOCK4","blue"
"WIPF1","blue"
"GOLGA4","blue"
"UST","blue"
"VSTM4","brown"
"ARIH1","red"
"ZNF469","green"
"SVIL","blue"
"N4BP2L2","blue"
"ITGBL1","pink"
"TNFSF10","turquoise"
"PTPRM","blue"
"LARGE","blue"
"CHSY3","blue"
"NRP1","blue"
"ATPIF1","turquoise"
"DDT","turquoise"
"CDC42","turquoise"
"ADCY9","brown"
"CSNK2B","turquoise"
"LAMC1","turquoise"
"TGFB3","green"
"ZNF395","brown"
"MLEC","turquoise"
"IL32","turquoise"
"FCGRT","turquoise"
"APP","blue"
"IL1R1","turquoise"
"CRIP2","yellow"
"FKBP9","green"
"DNM1","blue"
"NFAT5","blue"
"ARF4","green"
"RBM39","blue"
"MLLT10","blue"
"FKBP2","turquoise"
"CDKN1A","turquoise"
"SLC39A7","turquoise"
"EVA1B","turquoise"
"DCD","grey"
"CCDC85B","turquoise"
"SH3PXD2A","green"
"TCEAL4","yellow"
"SET","yellow"
"CSMD2","blue"
"ANXA6","turquoise"
"TRMT112","yellow"
"AKT3","red"
"DPM3","turquoise"
"WBP5","turquoise"
"ZCCHC24","turquoise"
"RNASEH2C","turquoise"
"MRPL51","turquoise"
"ARF1","turquoise"
"MAGED2","green"
"KAT6B","red"
"NR4A1","brown"
"TIMM8B","turquoise"
"CUX1","blue"
"NSMCE2","blue"
"AQP1","turquoise"
"SF3B5","turquoise"
"GNB2","turquoise"
"CRABP1","brown"
"TAX1BP3","turquoise"
"EFNA5","black"
"TBL1XR1","red"
"TXNL4A","turquoise"
"NT5DC2","green"
"HLA-DRA","turquoise"
"EPB41L2","blue"
"BCL2L2-PABPN1","yellow"
"KMT2E","brown"
"ATP6V1G1","yellow"
"PSMD8","turquoise"
"PCBP2","yellow"
"AKAP9","blue"
"SRM","turquoise"
"TSPAN4","turquoise"
"HIC1","turquoise"
"CTSA","turquoise"
"ABCA6","black"
"ARHGDIA","turquoise"
"TUBB2A","green"
"ADD3","blue"
"RNF181","turquoise"
"PER1","brown"
"SSBP3","brown"
"ARPC3","turquoise"
"DPYD","blue"
"NCOA1","red"
"CLEC2B","turquoise"
"RBM8A","brown"
"EXOC6B","blue"
"ITGA11","pink"
"NOVA1","magenta"
"PDE3A","red"
"DLG1","blue"
"PLAU","turquoise"
"RAB6A","blue"
"FAM114A1","green"
"SRGAP1","blue"
"SEC11A","turquoise"
"MZT2A","turquoise"
"NSA2","yellow"
"EFHD1","brown"
"GATAD2B","blue"
"HIGD2A","turquoise"
"NDRG1","brown"
"RHOA","turquoise"
"EIF4A1","yellow"
"PSME2","turquoise"
"NFATC2","blue"
"GPX7","turquoise"
"CTSZ","turquoise"
"PPIG","brown"
"CACNA2D1","blue"
"HNRNPDL","brown"
"FRMD4A","blue"
"PBX1","blue"
"SERBP1","grey"
"UBE2K","blue"
"AES","yellow"
"HNRNPC","turquoise"
"ETFB","turquoise"
"AFF4","blue"
"BCL7C","turquoise"
"PCDH7","blue"
"KANSL1","blue"
"TMBIM6","turquoise"
"CRISPLD2","blue"
"NKD1","brown"
"SRRM2","blue"
"COL6A6","black"
"SLC16A1-AS1","blue"
"CNBP","brown"
"COL27A1","blue"
"ADAMTS9-AS2","red"
"NCOR2","blue"
"PGLS","turquoise"
"HOOK3","blue"
"CREBBP","red"
"FAP","pink"
"ERC1","blue"
"BCAS3","blue"
"PRRC2B","red"
"PRELID1","turquoise"
"ABL2","blue"
"GADD45GIP1","turquoise"
"FSCN1","green"
"RAD51B","blue"
"PGAM1","turquoise"
"PSMB5","turquoise"
"PRKCA","blue"
"DNAJB1","grey"
"ANKRD17","blue"
"SNRPF","turquoise"
"ARID4B","red"
"PDGFD","blue"
"ZNF385D","blue"
"ARHGEF28","brown"
"PCDH11X","brown"
"PKP4","brown"
"VMP1","blue"
